Attaching to apps_proxy_1, apps_arachni_1, apps_webgoat_1
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/SolutionView.js HTTP/1.1" 200 593 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/SourceView.js HTTP/1.1" 200 490 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/LessonInfoModel.js HTTP/1.1" 200 324 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/LessonProgressModel.js HTTP/1.1" 200 307 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/HTMLContentModel.js HTTP/1.1" 200 548 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/libs/backbone.js HTTP/1.1" 200 60997 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/MenuCollection.js HTTP/1.1" 200 547 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/LessonProgressView.js HTTP/1.1" 200 795 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/HintCollection.js HTTP/1.1" 200 595 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/SolutionModel.js HTTP/1.1" 200 391 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/libs/backbone-min.js HTTP/1.1" 200 19999 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/SourceModel.js HTTP/1.1" 200 463 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/HelpView.js HTTP/1.1" 200 497 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/MenuModel.js HTTP/1.1" 200 116 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/CookieCollection.js HTTP/1.1" 200 217 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/HintModel.js HTTP/1.1" 200 139 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/CookieModel.js HTTP/1.1" 200 119 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/MenuItemView.js HTTP/1.1" 200 532 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/libs/jquery.form.js HTTP/1.1" 200 43892 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/model/LessonPlanModel.js HTTP/1.1" 200 355 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/service/debug/labels.mvc HTTP/1.1" 200 43 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:07 +0000] "GET /WebGoat/service/lessonmenu.mvc HTTP/1.1" 200 10313 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:07 +0000] "GET /WebGoat/service/lessonmenu.mvc HTTP/1.1" 200 10313 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:07 +0000] "GET /WebGoat/service/lessonmenu.mvc HTTP/1.1" 200 10314 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:07 +0000] "GET /WebGoat/attack?Screen=360466308&menu=5 HTTP/1.1" 200 3203 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:07 +0000] "GET /WebGoat/attack?Screen=360466308&menu=5 HTTP/1.1" 200 3203 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:08 +0000] "GET /WebGoat/plugin_extracted/plugin/HowToWork/lessonPlans/en/HowToWork_files/interface.png HTTP/1.1" 200 331473 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:08 +0000] "GET /WebGoat/service/lessonplan.mvc HTTP/1.1" 200 2948 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:08 +0000] "GET /WebGoat/service/solution.mvc HTTP/1.1" 200 2952 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:08 +0000] "GET /WebGoat/service/lessonmenu.mvc HTTP/1.1" 200 10313 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
